locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFFOGOJP_00050	CDS	1053	salA		COG0489	Iron-sulfur cluster carrier protein
IFFOGOJP_00051	CDS	714	cwlD	3.5.1.28	COG0860	Germination-specific N-acetylmuramoyl-L-alanine amidase
IFFOGOJP_00052	CDS	444				hypothetical protein
IFFOGOJP_00053	CDS	474	yizA		COG2318	putative protein YizA
IFFOGOJP_00054	CDS	768				hypothetical protein
IFFOGOJP_00055	CDS	393	rpsI		COG0103	30S ribosomal protein S9
IFFOGOJP_00056	CDS	438	rplM		COG0102	50S ribosomal protein L13
IFFOGOJP_00057	CDS	744	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
IFFOGOJP_00058	CDS	798	ecfT		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
IFFOGOJP_00059	CDS	870	ecfA2	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
IFFOGOJP_00060	CDS	846	ecfA1	7.-.-.-		Energy-coupling factor transporter ATP-binding protein EcfA1
IFFOGOJP_00061	CDS	363	rplQ		COG0203	50S ribosomal protein L17
IFFOGOJP_00062	CDS	945	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
IFFOGOJP_00063	CDS	396	rpsK		COG0100	30S ribosomal protein S11
IFFOGOJP_00064	CDS	366	rpsM		COG0099	30S ribosomal protein S13
IFFOGOJP_00065	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
IFFOGOJP_00066	CDS	219	infA		COG0361	Translation initiation factor IF-1
IFFOGOJP_00067	CDS	747	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
IFFOGOJP_00068	CDS	654	adk	2.7.4.3	COG0563	Adenylate kinase
IFFOGOJP_00069	CDS	1296	secY			Protein translocase subunit SecY
IFFOGOJP_00070	CDS	441	rplO		COG0200	50S ribosomal protein L15
IFFOGOJP_00071	CDS	180	rpmD		COG1841	50S ribosomal protein L30
IFFOGOJP_00072	CDS	507	rpsE		COG0098	30S ribosomal protein S5
IFFOGOJP_00073	CDS	363	rplR		COG0256	50S ribosomal protein L18
IFFOGOJP_00074	CDS	540	rplF		COG0097	50S ribosomal protein L6
IFFOGOJP_00075	CDS	399	rpsH		COG0096	30S ribosomal protein S8
IFFOGOJP_00076	CDS	186	rpsN1		COG0199	30S ribosomal protein S14
IFFOGOJP_00077	CDS	540	rplE		COG0094	50S ribosomal protein L5
IFFOGOJP_00078	CDS	312	rplX		COG0198	50S ribosomal protein L24
IFFOGOJP_00079	CDS	369	rplN		COG0093	50S ribosomal protein L14
IFFOGOJP_00080	CDS	264	rpsQ		COG0186	30S ribosomal protein S17
IFFOGOJP_00081	CDS	201	rpmC		COG0255	50S ribosomal protein L29
IFFOGOJP_00082	CDS	435	rplP		COG0197	50S ribosomal protein L16
IFFOGOJP_00083	CDS	657	rpsC		COG0092	30S ribosomal protein S3
IFFOGOJP_00084	CDS	342	rplV		COG0091	50S ribosomal protein L22
IFFOGOJP_00085	CDS	279	rpsS		COG0185	30S ribosomal protein S19
IFFOGOJP_00086	CDS	834	rplB		COG0090	50S ribosomal protein L2
IFFOGOJP_00087	CDS	288	rplW		COG0089	50S ribosomal protein L23
IFFOGOJP_00088	CDS	624	rplD		COG0088	50S ribosomal protein L4
IFFOGOJP_00089	CDS	630	rplC		COG0087	50S ribosomal protein L3
IFFOGOJP_00090	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
IFFOGOJP_00091	CDS	966	menH_1	4.2.99.20		"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
IFFOGOJP_00092	CDS	1191	tuf		COG0050	Elongation factor Tu
IFFOGOJP_00093	CDS	2079	fusA		COG0480	Elongation factor G
IFFOGOJP_00094	CDS	471	rpsG		COG0049	30S ribosomal protein S7
IFFOGOJP_00095	CDS	417	rpsL		COG0048	30S ribosomal protein S12
IFFOGOJP_00096	CDS	249	rplGB		COG1358	Ribosome-associated protein L7Ae-like protein
IFFOGOJP_00097	CDS	3600	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
IFFOGOJP_00098	CDS	3582	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
IFFOGOJP_00099	CDS	606	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
IFFOGOJP_00100	CDS	372	rplL		COG0222	50S ribosomal protein L7/L12
IFFOGOJP_00101	CDS	501	rplJ		COG0244	50S ribosomal protein L10
IFFOGOJP_00102	CDS	699	rplA		COG0081	50S ribosomal protein L1
IFFOGOJP_00103	CDS	426	rplK		COG0080	50S ribosomal protein L11
IFFOGOJP_00104	CDS	591	nusG_1		COG0250	Transcription termination/antitermination protein NusG
IFFOGOJP_00105	CDS	180	secE			Protein translocase subunit SecE
IFFOGOJP_00106	CDS	657	sigH		COG1595	RNA polymerase sigma-H factor
IFFOGOJP_00107	CDS	513	yacP		COG3688	putative protein YacP
IFFOGOJP_00108	CDS	750		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
IFFOGOJP_00109	CDS	432	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
IFFOGOJP_00110	CDS	1401	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
IFFOGOJP_00111	CDS	654	cysE	2.3.1.30	COG1045	Serine acetyltransferase
IFFOGOJP_00112	CDS	1452	gltX	6.1.1.17		Glutamate--tRNA ligase
IFFOGOJP_00113	CDS	477	ispF	4.6.1.12	COG0245	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
IFFOGOJP_00114	CDS	699	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
IFFOGOJP_00115	CDS	1101	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
IFFOGOJP_00116	CDS	1083	disA	2.7.7.85	COG1623	DNA integrity scanning protein DisA
IFFOGOJP_00117	CDS	1380	radA	3.6.4.-	COG1066	DNA repair protein RadA
IFFOGOJP_00118	CDS	2433	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
IFFOGOJP_00119	CDS	1092	mcsB	2.7.14.1	COG3869	Protein-arginine kinase
IFFOGOJP_00120	CDS	381	mcsA		COG3880	Protein-arginine kinase activator protein
IFFOGOJP_00121	CDS	465	ctsR		COG4463	Transcriptional regulator CtsR
IFFOGOJP_00122	rRNA	83				5S ribosomal RNA (partial)
IFFOGOJP_00123	CDS	3813	ppsA	2.3.1.-	COG1020	Plipastatin synthase subunit A
IFFOGOJP_00124	CDS	7692	ppsB	2.3.1.-		Plipastatin synthase subunit B
IFFOGOJP_00125	CDS	273				hypothetical protein
IFFOGOJP_00126	CDS	459				hypothetical protein
IFFOGOJP_00127	CDS	2670	srfAA		COG0318	Surfactin synthase subunit 1
IFFOGOJP_00128	CDS	6699				hypothetical protein
IFFOGOJP_00129	CDS	7719	acpP_1			Acyl carrier protein
IFFOGOJP_00130	CDS	6156				hypothetical protein
IFFOGOJP_00131	CDS	6216	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
IFFOGOJP_00132	CDS	1155	yjiB_1	1.14.-.-	COG2124	Putative cytochrome P450 YjiB
IFFOGOJP_00133	CDS	1248	pksG_1	2.3.3.-	COG3425	Polyketide biosynthesis 3-hydroxy-3-methylglutaryl-ACP synthase PksG
IFFOGOJP_00134	CDS	747	pksI_1	4.-.-.-	COG1024	Putative polyketide biosynthesis enoyl-CoA isomerase PksI
IFFOGOJP_00135	CDS	840	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
IFFOGOJP_00136	CDS	960	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
IFFOGOJP_00137	CDS	777		1.-.-.-		putative oxidoreductase
IFFOGOJP_00138	CDS	1350	dsdA	4.3.1.18	COG3048	D-serine dehydratase
IFFOGOJP_00139	CDS	960	coaA	2.7.1.33	COG1072	Pantothenate kinase
IFFOGOJP_00140	CDS	393				Tn3 family transposase ISAau4
IFFOGOJP_00141	CDS	168				hypothetical protein
IFFOGOJP_00142	CDS	1071				hypothetical protein
IFFOGOJP_00143	CDS	207				hypothetical protein
IFFOGOJP_00144	CDS	345				hypothetical protein
IFFOGOJP_00145	CDS	1227	dinB_1	2.7.7.7	COG0389	DNA polymerase IV
IFFOGOJP_00146	CDS	471	yqjY			putative protein YqjY
IFFOGOJP_00147	CDS	345	yqjZ		COG2329	putative protein YqjZ
IFFOGOJP_00148	CDS	969				hypothetical protein
IFFOGOJP_00149	CDS	363				hypothetical protein
IFFOGOJP_00150	CDS	240				hypothetical protein
IFFOGOJP_00151	CDS	915	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
IFFOGOJP_00152	CDS	228				hypothetical protein
IFFOGOJP_00153	CDS	921	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
IFFOGOJP_00154	CDS	123	mciZ			Cell division inhibitor MciZ
IFFOGOJP_00155	CDS	558	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
IFFOGOJP_00156	CDS	1164				hypothetical protein
IFFOGOJP_00157	CDS	354				hypothetical protein
IFFOGOJP_00158	CDS	990	ansA	3.5.1.1	COG0252	L-asparaginase 1
IFFOGOJP_00159	CDS	1428	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
IFFOGOJP_00160	CDS	1407	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
IFFOGOJP_00161	CDS	1314		1.1.1.38		NAD-dependent malic enzyme
IFFOGOJP_00162	CDS	291				hypothetical protein
IFFOGOJP_00163	CDS	285				hypothetical protein
IFFOGOJP_00164	CDS	645	spoIIM		COG1300	Stage II sporulation protein M
IFFOGOJP_00165	CDS	450	fur		COG0735	Ferric uptake regulation protein
IFFOGOJP_00166	CDS	228				hypothetical protein
IFFOGOJP_00167	CDS	891	xerD			Tyrosine recombinase XerD
IFFOGOJP_00168	CDS	1185	deoB	5.4.2.7	COG1015	Phosphopentomutase
IFFOGOJP_00169	CDS	819	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
IFFOGOJP_00170	CDS	1170	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
IFFOGOJP_00171	CDS	354	spoIIAA		COG1366	Anti-sigma F factor antagonist
IFFOGOJP_00172	CDS	441	spoIIAB	2.7.11.1	COG2172	Anti-sigma F factor
IFFOGOJP_00173	CDS	768	sigF		COG1191	RNA polymerase sigma-F factor
IFFOGOJP_00174	CDS	621				hypothetical protein
IFFOGOJP_00175	CDS	453				hypothetical protein
IFFOGOJP_00176	CDS	1017	spoVAD			Stage V sporulation protein AD
IFFOGOJP_00177	CDS	351				hypothetical protein
IFFOGOJP_00178	CDS	606				hypothetical protein
IFFOGOJP_00179	CDS	1482	gerXA			Spore germination protein XA
IFFOGOJP_00180	CDS	1320	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
IFFOGOJP_00181	CDS	900	ypuA		COG4086	putative protein YpuA
IFFOGOJP_00182	CDS	432	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
IFFOGOJP_00183	CDS	492				hypothetical protein
IFFOGOJP_00184	CDS	561	sipS	3.4.21.89	COG0681	Signal peptidase I S
IFFOGOJP_00185	CDS	345				hypothetical protein
IFFOGOJP_00186	CDS	1116	ribD		COG0117	Riboflavin biosynthesis protein RibD
IFFOGOJP_00187	CDS	648	ribE	2.5.1.9	COG0307	Riboflavin synthase
IFFOGOJP_00188	CDS	1197	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
IFFOGOJP_00189	CDS	465	ribH	2.5.1.78	COG0054	"6,7-dimethyl-8-ribityllumazine synthase"
IFFOGOJP_00190	CDS	375	ribT	2.3.1.-		Protein RibT
IFFOGOJP_00191	CDS	522				hypothetical protein
IFFOGOJP_00192	CDS	90				hypothetical protein
IFFOGOJP_00193	CDS	756	scpA		COG1354	Segregation and condensation protein A
IFFOGOJP_00194	CDS	594	scpB		COG1386	Segregation and condensation protein B
IFFOGOJP_00195	CDS	531				hypothetical protein
IFFOGOJP_00196	CDS	1152	dacB	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacB
IFFOGOJP_00197	CDS	591	spmA		COG2715	Spore maturation protein A
IFFOGOJP_00198	CDS	537	spmB			Spore maturation protein B
IFFOGOJP_00199	CDS	735	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
IFFOGOJP_00200	CDS	540	resA_1			Thiol-disulfide oxidoreductase ResA
IFFOGOJP_00201	CDS	1629	ccsB			Cytochrome c biogenesis protein CcsB
IFFOGOJP_00202	CDS	1176	ccsA_1			Cytochrome c biogenesis protein CcsA
IFFOGOJP_00203	CDS	723	srrA_1		COG0745	Transcriptional regulatory protein SrrA
IFFOGOJP_00204	CDS	1782	resE	2.7.13.3		Sensor histidine kinase ResE
IFFOGOJP_00205	CDS	585	sigX		COG1595	ECF RNA polymerase sigma factor SigX
IFFOGOJP_00206	CDS	1101	rsiX			Anti-sigma-X factor RsiX
IFFOGOJP_00207	CDS	1578	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
IFFOGOJP_00208	CDS	573	fmnP		COG3601	Riboflavin transporter FmnP
IFFOGOJP_00209	CDS	249	fer		COG1141	Ferredoxin
IFFOGOJP_00210	CDS	1059				hypothetical protein
IFFOGOJP_00211	CDS	1419	dbpA_1	3.6.4.13		ATP-dependent RNA helicase DbpA
IFFOGOJP_00212	CDS	555				hypothetical protein
IFFOGOJP_00213	CDS	759				hypothetical protein
IFFOGOJP_00214	CDS	459				hypothetical protein
IFFOGOJP_00215	CDS	789	ypbG		COG1408	putative protein YpbG
IFFOGOJP_00216	CDS	585	mecB		COG4862	Adapter protein MecA 2
IFFOGOJP_00217	CDS	1275	gudB	1.4.1.2	COG0334	Cryptic catabolic NAD-specific glutamate dehydrogenase GudB
IFFOGOJP_00218	CDS	984		1.18.1.2	COG0492	Ferredoxin--NADP reductase
IFFOGOJP_00219	CDS	657	prsW	3.4.-.-	COG2339	Protease PrsW
IFFOGOJP_00220	CDS	873	sleB		COG3409	Spore cortex-lytic enzyme
IFFOGOJP_00221	CDS	1350	ypeB			Sporulation protein YpeB
IFFOGOJP_00222	CDS	657	ypfA		COG5581	putative protein YpfA
IFFOGOJP_00223	CDS	177				hypothetical protein
IFFOGOJP_00224	CDS	675	cmk	2.7.4.25	COG0283	Cytidylate kinase
IFFOGOJP_00225	CDS	1149	ypfD		COG0539	30S ribosomal protein S1 
IFFOGOJP_00226	CDS	1050	fni	5.3.3.2	COG1304	Isopentenyl-diphosphate delta-isomerase
IFFOGOJP_00227	CDS	132				hypothetical protein
IFFOGOJP_00228	CDS	603				hypothetical protein
IFFOGOJP_00229	CDS	1311	der		COG1160	GTPase Der
IFFOGOJP_00230	CDS	1038	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
IFFOGOJP_00231	CDS	204				hypothetical protein
IFFOGOJP_00232	CDS	735				hypothetical protein
IFFOGOJP_00233	CDS	1479	spoIVA	3.6.1.3		Stage IV sporulation protein A
IFFOGOJP_00234	CDS	279	hupA		COG0776	DNA-binding protein HU 1
IFFOGOJP_00235	CDS	573	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
IFFOGOJP_00236	CDS	228	mtrB			Transcription attenuation protein MtrB
IFFOGOJP_00237	CDS	765	hepS	2.5.1.30		Heptaprenyl diphosphate synthase component 1
IFFOGOJP_00238	CDS	702	menG	2.1.1.163	COG2226	Demethylmenaquinone methyltransferase
IFFOGOJP_00239	CDS	1050	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
IFFOGOJP_00240	CDS	447	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
IFFOGOJP_00241	CDS	771	cheR	2.1.1.80		Chemotaxis protein methyltransferase
IFFOGOJP_00242	CDS	1173	aroC	4.2.3.5	COG0082	Chorismate synthase
IFFOGOJP_00243	CDS	1089	aroB	4.2.3.4		3-dehydroquinate synthase
IFFOGOJP_00244	CDS	384	aroH	5.4.99.5	COG4401	Chorismate mutase AroH
IFFOGOJP_00245	CDS	1548	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
IFFOGOJP_00246	CDS	1017	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
IFFOGOJP_00247	CDS	753	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
IFFOGOJP_00248	CDS	654	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
IFFOGOJP_00249	CDS	1203	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
IFFOGOJP_00250	CDS	798	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
IFFOGOJP_00251	CDS	1083	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
IFFOGOJP_00252	CDS	1107				hypothetical protein
IFFOGOJP_00253	CDS	1287	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
IFFOGOJP_00254	CDS	1272	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
IFFOGOJP_00255	CDS	540				hypothetical protein
IFFOGOJP_00256	CDS	447				hypothetical protein
IFFOGOJP_00257	CDS	504	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
IFFOGOJP_00258	CDS	675	qcrB		COG1290	Menaquinol-cytochrome c reductase cytochrome b subunit
IFFOGOJP_00259	CDS	768	petD			Cytochrome b6-f complex subunit 4
IFFOGOJP_00260	CDS	594				hypothetical protein
IFFOGOJP_00261	CDS	783				hypothetical protein
IFFOGOJP_00262	CDS	303				hypothetical protein
IFFOGOJP_00263	CDS	888	oxdC_1	4.1.1.2	COG2140	Oxalate decarboxylase OxdC
IFFOGOJP_00264	CDS	873				hypothetical protein
IFFOGOJP_00265	CDS	336	ypjD		COG1694	putative protein YpjD
IFFOGOJP_00266	CDS	804	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
IFFOGOJP_00267	CDS	414	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
IFFOGOJP_00268	CDS	714	bshB1_1	3.5.1.-	COG2120	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
IFFOGOJP_00269	CDS	1134	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
IFFOGOJP_00270	CDS	1191	cca	2.7.7.72		CCA-adding enzyme
IFFOGOJP_00271	CDS	978	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
IFFOGOJP_00272	CDS	834	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
IFFOGOJP_00273	CDS	861	panC	6.3.2.1		Pantothenate synthetase
IFFOGOJP_00274	CDS	384	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
IFFOGOJP_00275	CDS	2787	dinG	3.1.-.-		3'-5' exonuclease DinG
IFFOGOJP_00276	CDS	171				hypothetical protein
IFFOGOJP_00277	CDS	486	ypmB		COG5353	putative protein YpmB
IFFOGOJP_00278	CDS	1182		2.6.1.1		Aspartate aminotransferase
IFFOGOJP_00279	CDS	1293	asnS	6.1.1.22		Asparagine--tRNA ligase
IFFOGOJP_00280	CDS	699	dnaD		COG3935	DNA replication protein DnaD
IFFOGOJP_00281	CDS	660	nth	4.2.99.18	COG0177	Endonuclease III
IFFOGOJP_00282	CDS	492	ypoC			putative protein YpoC
IFFOGOJP_00283	CDS	2784	ponA		COG0744	Penicillin-binding protein 1A/1B
IFFOGOJP_00284	CDS	609	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
IFFOGOJP_00285	CDS	963				hypothetical protein
IFFOGOJP_00286	CDS	105	sspM			"Small, acid-soluble spore protein M"
IFFOGOJP_00287	CDS	246				hypothetical protein
IFFOGOJP_00288	CDS	369	yppE			putative protein YppE
IFFOGOJP_00289	CDS	183				hypothetical protein
IFFOGOJP_00290	CDS	468				hypothetical protein
IFFOGOJP_00291	CDS	414				hypothetical protein
IFFOGOJP_00292	CDS	507	crr			PTS system glucose-specific EIIA component
IFFOGOJP_00293	CDS	2247	dbpA_2	3.6.4.13		ATP-dependent RNA helicase DbpA
IFFOGOJP_00294	CDS	1239				hypothetical protein
IFFOGOJP_00295	CDS	96				hypothetical protein
IFFOGOJP_00296	CDS	237				hypothetical protein
IFFOGOJP_00297	CDS	549				hypothetical protein
IFFOGOJP_00298	CDS	300	gpsB		COG3599	Cell cycle protein GpsB
IFFOGOJP_00299	CDS	1167	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
IFFOGOJP_00300	CDS	153				hypothetical protein
IFFOGOJP_00301	CDS	192				hypothetical protein
IFFOGOJP_00302	CDS	1920	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
IFFOGOJP_00303	CDS	1503	ypwA	3.4.17.19	COG2317	Carboxypeptidase 1
IFFOGOJP_00304	CDS	585	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
IFFOGOJP_00305	CDS	1305	pucK		COG2233	Uric acid permease PucK
IFFOGOJP_00306	CDS	276				hypothetical protein
IFFOGOJP_00307	CDS	567	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
IFFOGOJP_00308	CDS	264				hypothetical protein
IFFOGOJP_00309	CDS	309	atl		COG3695	DNA base-flipping protein
IFFOGOJP_00310	CDS	609				hypothetical protein
IFFOGOJP_00311	CDS	1101		2.3.1.-	COG3424	Alpha-pyrone synthesis polyketide synthase-like Pks11
IFFOGOJP_00312	CDS	507				hypothetical protein
IFFOGOJP_00313	CDS	3579	era_1			GTPase Era
IFFOGOJP_00314	CDS	258				hypothetical protein
IFFOGOJP_00315	CDS	144				hypothetical protein
IFFOGOJP_00316	CDS	888	ypcP	3.1.11.-	COG0258	5'-3' exonuclease
IFFOGOJP_00317	CDS	129	sspL			"Small, acid-soluble spore protein L"
IFFOGOJP_00318	CDS	396	rnhA		COG0328	14.7 kDa ribonuclease H-like protein
IFFOGOJP_00319	CDS	681				queuosine precursor transporter
IFFOGOJP_00320	CDS	672				hypothetical protein
IFFOGOJP_00321	CDS	183				hypothetical protein
IFFOGOJP_00322	CDS	258				hypothetical protein
IFFOGOJP_00323	CDS	183	degR			Regulatory protein DegR
IFFOGOJP_00324	CDS	201	cspD		COG1278	Cold shock protein CspD
IFFOGOJP_00325	CDS	1143	ugtP	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
IFFOGOJP_00326	CDS	909	metAA	2.3.1.31		Homoserine O-acetyltransferase
IFFOGOJP_00327	CDS	483	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
IFFOGOJP_00328	CDS	609	yedJ		COG1418	putative protein YedJ
IFFOGOJP_00329	CDS	1134				hypothetical protein
IFFOGOJP_00330	CDS	1677	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
IFFOGOJP_00331	CDS	435				hypothetical protein
IFFOGOJP_00332	CDS	771	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
IFFOGOJP_00333	CDS	609				hypothetical protein
IFFOGOJP_00334	CDS	795	thyA2	2.1.1.45	COG0207	Thymidylate synthase 2
IFFOGOJP_00335	CDS	486				IS1595 family transposase ISSsu9
IFFOGOJP_00336	CDS	624				hypothetical protein
IFFOGOJP_00337	CDS	639				hypothetical protein
IFFOGOJP_00338	CDS	993	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
IFFOGOJP_00339	CDS	1269	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
IFFOGOJP_00340	CDS	252				hypothetical protein
IFFOGOJP_00341	CDS	582	ypmQ		COG1999	SCO1 protein 
IFFOGOJP_00342	CDS	756	lipC_1	3.-.-.-	COG2755	Spore germination lipase LipC
IFFOGOJP_00343	CDS	567				hypothetical protein
IFFOGOJP_00344	CDS	405				hypothetical protein
IFFOGOJP_00345	CDS	534	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
