locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDHLNFNC_00056	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
JDHLNFNC_00057	CDS	393	flhE			Flagellar protein FlhE
JDHLNFNC_00058	CDS	2079	flhA		COG1298	Flagellar biosynthesis protein FlhA
JDHLNFNC_00059	CDS	1152	flhB		COG1377	Flagellar biosynthetic protein FlhB
JDHLNFNC_00060	CDS	648	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
JDHLNFNC_00061	CDS	390	cheY		COG0784	Chemotaxis protein CheY
JDHLNFNC_00062	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
JDHLNFNC_00063	CDS	867	cheR	2.1.1.80		Chemotaxis protein methyltransferase
JDHLNFNC_00064	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
JDHLNFNC_00065	CDS	504	cheW		COG0835	Chemotaxis protein CheW
JDHLNFNC_00066	CDS	2016	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
JDHLNFNC_00067	CDS	930	motB		COG1360	Motility protein B
JDHLNFNC_00068	CDS	888	motA		COG1291	Motility protein A
JDHLNFNC_00069	CDS	579	flhC			Flagellar transcriptional regulator FlhC
JDHLNFNC_00070	CDS	342	flhD			Flagellar transcriptional regulator FlhD
JDHLNFNC_00071	CDS	429	uspC		COG0589	Universal stress protein C
JDHLNFNC_00072	CDS	1422	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
JDHLNFNC_00073	CDS	903	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
JDHLNFNC_00074	CDS	537	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
JDHLNFNC_00075	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
JDHLNFNC_00076	CDS	639				hypothetical protein
JDHLNFNC_00077	CDS	336				hypothetical protein
JDHLNFNC_00078	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
JDHLNFNC_00079	CDS	240				hypothetical protein
JDHLNFNC_00080	CDS	1269	tyrP		COG0814	Tyrosine-specific transport protein
JDHLNFNC_00081	CDS	666				hypothetical protein
JDHLNFNC_00082	CDS	192				hypothetical protein
JDHLNFNC_00083	CDS	1434				hypothetical protein
JDHLNFNC_00084	tRNA	87				tRNA-Leu(taa)
JDHLNFNC_00085	tRNA	74				tRNA-Cys(gca)
JDHLNFNC_00086	tRNA	76				tRNA-Gly(gcc)
JDHLNFNC_00087	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
JDHLNFNC_00088	CDS	1833	uvrC		COG0322	UvrABC system protein C
JDHLNFNC_00089	CDS	657	uvrY		COG2197	Response regulator UvrY
JDHLNFNC_00090	CDS	225				hypothetical protein
JDHLNFNC_00091	CDS	723	sdiA		COG2771	Regulatory protein SdiA
JDHLNFNC_00092	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
JDHLNFNC_00093	CDS	669	yecS_1		COG0765	L-cystine transport system permease protein YecS
JDHLNFNC_00094	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
JDHLNFNC_00095	CDS	801	fliY_1		COG0834	L-cystine-binding protein FliY
JDHLNFNC_00096	CDS	552	fliZ			Regulator of sigma S factor FliZ
JDHLNFNC_00097	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
JDHLNFNC_00098	tRNA	77				tRNA-Arg(acg)
JDHLNFNC_00099	CDS	105				hypothetical protein
JDHLNFNC_00100	rRNA	809				23S ribosomal RNA (partial)
JDHLNFNC_00101	CDS	159				hypothetical protein
JDHLNFNC_00102	CDS	405				hypothetical protein
JDHLNFNC_00103	CDS	237				hypothetical protein
JDHLNFNC_00104	CDS	321				hypothetical protein
JDHLNFNC_00105	CDS	978				hypothetical protein
JDHLNFNC_00106	CDS	750	dnaC_1		COG1484	DNA replication protein DnaC
JDHLNFNC_00107	CDS	348				hypothetical protein
JDHLNFNC_00108	CDS	1086	fliC		COG1344	Flagellin
JDHLNFNC_00109	CDS	1206				hypothetical protein
JDHLNFNC_00110	CDS	159				hypothetical protein
JDHLNFNC_00111	CDS	411				hypothetical protein
JDHLNFNC_00112	CDS	240				hypothetical protein
JDHLNFNC_00113	CDS	321				hypothetical protein
JDHLNFNC_00114	CDS	978				hypothetical protein
JDHLNFNC_00115	CDS	750	dnaC_2		COG1484	DNA replication protein DnaC
JDHLNFNC_00116	CDS	348				hypothetical protein
JDHLNFNC_00117	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
JDHLNFNC_00118	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
JDHLNFNC_00119	CDS	615	yigZ		COG1739	IMPACT family member YigZ
JDHLNFNC_00120	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
JDHLNFNC_00121	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
JDHLNFNC_00122	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
JDHLNFNC_00123	CDS	1836	assT_1	2.8.2.22		Arylsulfate sulfotransferase AssT
JDHLNFNC_00124	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
JDHLNFNC_00125	CDS	1479	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
JDHLNFNC_00126	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
JDHLNFNC_00127	CDS	795	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
JDHLNFNC_00128	CDS	780	tatC		COG0805	Sec-independent protein translocase protein TatC
JDHLNFNC_00129	CDS	549	tatB		COG1826	Sec-independent protein translocase protein TatB
JDHLNFNC_00130	CDS	255	tatA		COG1826	Sec-independent protein translocase protein TatA
JDHLNFNC_00131	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
JDHLNFNC_00132	CDS	606	ubiJ_1		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
JDHLNFNC_00133	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
JDHLNFNC_00134	CDS	1431				hypothetical protein
JDHLNFNC_00135	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
JDHLNFNC_00136	CDS	813				hypothetical protein
JDHLNFNC_00137	CDS	1296	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
JDHLNFNC_00138	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
JDHLNFNC_00139	CDS	954	metR			HTH-type transcriptional regulator MetR
JDHLNFNC_00140	CDS	900	bioP		COG0697	Biotin transporter
JDHLNFNC_00141	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
JDHLNFNC_00142	CDS	1017	pldB	3.1.1.5	COG2267	Lysophospholipase L2
JDHLNFNC_00143	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
JDHLNFNC_00144	CDS	621	rhtC_1		COG1280	Threonine efflux protein
JDHLNFNC_00145	CDS	1848	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
JDHLNFNC_00146	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
JDHLNFNC_00147	CDS	468				hypothetical protein
JDHLNFNC_00148	CDS	885	rarD_1		COG2962	Protein RarD
JDHLNFNC_00149	CDS	459	yigG			Inner membrane protein YigG
JDHLNFNC_00150	CDS	381				hypothetical protein
JDHLNFNC_00151	CDS	951	corA		COG0598	Magnesium transport protein CorA
JDHLNFNC_00152	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
JDHLNFNC_00153	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
JDHLNFNC_00154	CDS	903	xerC		COG4973	Tyrosine recombinase XerC
JDHLNFNC_00155	CDS	708				hypothetical protein
JDHLNFNC_00156	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
JDHLNFNC_00157	CDS	204				hypothetical protein
JDHLNFNC_00158	CDS	252				hypothetical protein
JDHLNFNC_00159	CDS	93				hypothetical protein
JDHLNFNC_00160	CDS	390				hypothetical protein
JDHLNFNC_00161	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
JDHLNFNC_00162	CDS	363				hypothetical protein
JDHLNFNC_00163	CDS	516				hypothetical protein
JDHLNFNC_00164	CDS	354				hypothetical protein
JDHLNFNC_00165	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
JDHLNFNC_00166	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
JDHLNFNC_00167	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
JDHLNFNC_00168	CDS	1170	hemX		COG2959	Protein HemX
JDHLNFNC_00169	CDS	1200	hemY		COG3071	Protein HemY
JDHLNFNC_00170	tRNA	77				tRNA-Pro(tgg)
JDHLNFNC_00171	tRNA	87				tRNA-Leu(cag)
JDHLNFNC_00172	tRNA	76				tRNA-His(gtg)
JDHLNFNC_00173	tRNA	77				tRNA-Arg(ccg)
JDHLNFNC_00174	CDS	1386	yifK		COG1113	putative transport protein YifK
JDHLNFNC_00175	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
JDHLNFNC_00176	CDS	1359	wzyE			putative ECA polymerase
JDHLNFNC_00177	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
JDHLNFNC_00178	CDS	1251	wzxE		COG2244	Lipid III flippase
JDHLNFNC_00179	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
JDHLNFNC_00180	CDS	678	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
JDHLNFNC_00181	CDS	225				hypothetical protein
JDHLNFNC_00182	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
JDHLNFNC_00183	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
JDHLNFNC_00184	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
JDHLNFNC_00185	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
JDHLNFNC_00186	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
JDHLNFNC_00187	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
JDHLNFNC_00188	CDS	330	trxA		COG0526	Thioredoxin 1
JDHLNFNC_00189	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
JDHLNFNC_00190	CDS	1482	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
JDHLNFNC_00191	CDS	2025	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
JDHLNFNC_00192	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
JDHLNFNC_00193	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
JDHLNFNC_00194	CDS	888	gltC_1			HTH-type transcriptional regulator GltC
JDHLNFNC_00195	CDS	342				hypothetical protein
JDHLNFNC_00196	CDS	318				hypothetical protein
JDHLNFNC_00197	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
JDHLNFNC_00198	CDS	1851	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
JDHLNFNC_00199	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
JDHLNFNC_00200	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
JDHLNFNC_00201	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
JDHLNFNC_00202	CDS	1521	comM		COG0606	Competence protein ComM
JDHLNFNC_00203	CDS	339				hypothetical protein
JDHLNFNC_00204	CDS	837	hdfR_1			HTH-type transcriptional regulator HdfR
JDHLNFNC_00205	tRNA	76				tRNA-Trp(cca)
JDHLNFNC_00206	tRNA	77				tRNA-Asp(gtc)
JDHLNFNC_00207	rRNA	111				5S ribosomal RNA
JDHLNFNC_00208	CDS	291				hypothetical protein
JDHLNFNC_00209	CDS	651				hypothetical protein
JDHLNFNC_00210	CDS	1467				hypothetical protein
JDHLNFNC_00211	CDS	5844				hypothetical protein
JDHLNFNC_00212	CDS	5580				hypothetical protein
JDHLNFNC_00213	CDS	960				hypothetical protein
JDHLNFNC_00214	CDS	2193				hypothetical protein
JDHLNFNC_00215	CDS	222	yfgJ			putative protein YfgJ
JDHLNFNC_00216	CDS	1473	der		COG1160	GTPase Der
JDHLNFNC_00217	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
JDHLNFNC_00218	CDS	621				hypothetical protein
JDHLNFNC_00219	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
JDHLNFNC_00220	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
JDHLNFNC_00221	CDS	1005	rodZ		COG1426	Cytoskeleton protein RodZ
JDHLNFNC_00222	CDS	1167	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
JDHLNFNC_00223	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
JDHLNFNC_00224	CDS	864	napF_1			Ferredoxin-type protein NapF
JDHLNFNC_00225	CDS	810	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
JDHLNFNC_00226	CDS	630	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
JDHLNFNC_00227	CDS	2379	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
JDHLNFNC_00228	CDS	2316	pbpC		COG4953	Penicillin-binding protein 1C
JDHLNFNC_00229	CDS	4935	yfhM		COG2373	Alpha-2-macroglobulin
JDHLNFNC_00230	CDS	843	sseA_1	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
JDHLNFNC_00231	CDS	225				hypothetical protein
JDHLNFNC_00232	CDS	669				hypothetical protein
JDHLNFNC_00233	CDS	777				hypothetical protein
JDHLNFNC_00234	CDS	180				hypothetical protein
JDHLNFNC_00235	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
JDHLNFNC_00236	CDS	201	iscX		COG2975	Protein IscX
JDHLNFNC_00237	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
JDHLNFNC_00238	CDS	1851	hscA		COG0443	Chaperone protein HscA
JDHLNFNC_00239	CDS	516	hscB		COG1076	Co-chaperone protein HscB
JDHLNFNC_00240	CDS	324	iscA		COG0316	Iron-binding protein IscA
JDHLNFNC_00241	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
JDHLNFNC_00242	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
JDHLNFNC_00243	CDS	495	iscR		COG1959	HTH-type transcriptional regulator IscR
JDHLNFNC_00244	CDS	732	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
JDHLNFNC_00245	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
JDHLNFNC_00246	CDS	879			COG1073	putative protein
JDHLNFNC_00247	CDS	1044	asrA		COG1145	Anaerobic sulfite reductase subunit A
JDHLNFNC_00248	CDS	819	asrB		COG0543	Anaerobic sulfite reductase subunit B
JDHLNFNC_00249	CDS	1014	asrC	1.8.1.-	COG2221	Anaerobic sulfite reductase subunit C
JDHLNFNC_00250	CDS	987				hypothetical protein
JDHLNFNC_00251	CDS	639				hypothetical protein
JDHLNFNC_00252	CDS	1278				hypothetical protein
JDHLNFNC_00253	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
JDHLNFNC_00254	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
JDHLNFNC_00255	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
JDHLNFNC_00256	CDS	1545	cadC		COG3710	Transcriptional activator CadC
JDHLNFNC_00257	CDS	1332	cadB		COG0531	putative cadaverine/lysine antiporter
JDHLNFNC_00258	CDS	2145	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
JDHLNFNC_00259	CDS	1461	dtpC		COG3104	Dipeptide and tripeptide permease C
JDHLNFNC_00260	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
JDHLNFNC_00261	CDS	1338	qseF		COG2204	Transcriptional regulatory protein QseF
JDHLNFNC_00262	CDS	765	qseG			Quorum-sensing regulator protein G
JDHLNFNC_00263	CDS	1386	qseE	2.7.13.3		Sensor histidine kinase QseE
JDHLNFNC_00264	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
JDHLNFNC_00265	CDS	1545	mltF_1	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
JDHLNFNC_00266	CDS	519	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
JDHLNFNC_00267	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
JDHLNFNC_00268	CDS	1362				PTS system EIIBC component
JDHLNFNC_00269	CDS	894	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
JDHLNFNC_00270	CDS	849	murR		COG1737	HTH-type transcriptional regulator MurR
JDHLNFNC_00271	CDS	918	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
JDHLNFNC_00272	CDS	1197				L-lactate transporter
JDHLNFNC_00273	CDS	927	hdfR_2			HTH-type transcriptional regulator HdfR
JDHLNFNC_00274	CDS	261	yfhL		COG1145	Ferredoxin YfhL
JDHLNFNC_00275	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
JDHLNFNC_00276	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
JDHLNFNC_00277	CDS	729	recO		COG1381	DNA repair protein RecO
JDHLNFNC_00278	CDS	906	era		COG1159	GTPase Era
JDHLNFNC_00279	CDS	738	rnc	3.1.26.3	COG0571	Ribonuclease 3
JDHLNFNC_00280	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
JDHLNFNC_00281	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
JDHLNFNC_00282	CDS	1470				hypothetical protein
JDHLNFNC_00283	CDS	474	sarA			Salmonella anti-inflammatory response activator
JDHLNFNC_00284	CDS	186				hypothetical protein
JDHLNFNC_00285	CDS	705	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
JDHLNFNC_00286	CDS	1428	hsrA			putative transport protein HsrA
JDHLNFNC_00287	CDS	990	rbsR		COG1609	Ribose operon repressor
JDHLNFNC_00288	CDS	930	rbsK_1	2.7.1.15	COG0524	Ribokinase
JDHLNFNC_00289	CDS	891	rbsB		COG1879	Ribose import binding protein RbsB
JDHLNFNC_00290	CDS	966	rbsC		COG1172	Ribose import permease protein RbsC
JDHLNFNC_00291	CDS	1506	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
JDHLNFNC_00292	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
JDHLNFNC_00293	CDS	1869	kup			Low affinity potassium transport system protein kup
JDHLNFNC_00294	CDS	1497	ravA	3.6.3.-	COG0714	ATPase RavA
JDHLNFNC_00295	CDS	1452	viaA		COG2425	Protein ViaA
JDHLNFNC_00296	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
JDHLNFNC_00297	CDS	459	asnC		COG1522	Regulatory protein AsnC
JDHLNFNC_00298	CDS	444	mioC		COG0716	Protein MioC
JDHLNFNC_00299	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
JDHLNFNC_00300	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
JDHLNFNC_00301	CDS	381	atpI		COG3312	ATP synthase protein I
JDHLNFNC_00302	CDS	816	atpB		COG0356	ATP synthase subunit a
JDHLNFNC_00303	CDS	240	atpE		COG0636	ATP synthase subunit c
JDHLNFNC_00304	CDS	471	atpF		COG0711	ATP synthase subunit b
JDHLNFNC_00305	CDS	534	atpH		COG0712	ATP synthase subunit delta
JDHLNFNC_00306	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
JDHLNFNC_00307	CDS	864	atpG		COG0224	ATP synthase gamma chain
JDHLNFNC_00308	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
JDHLNFNC_00309	CDS	420	atpC		COG0355	ATP synthase epsilon chain
JDHLNFNC_00310	CDS	699				hypothetical protein
JDHLNFNC_00311	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
JDHLNFNC_00312	CDS	1830	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
JDHLNFNC_00313	CDS	1791	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
JDHLNFNC_00314	CDS	819	sdhL	1.1.1.25	COG0169	Shikimate dehydrogenase-like protein
JDHLNFNC_00315	CDS	1374	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
JDHLNFNC_00316	CDS	102				hypothetical protein
JDHLNFNC_00317	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
JDHLNFNC_00318	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
JDHLNFNC_00319	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
JDHLNFNC_00320	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
JDHLNFNC_00321	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
JDHLNFNC_00322	CDS	648	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
JDHLNFNC_00323	CDS	1338	adeP		COG2252	Adenine permease AdeP
JDHLNFNC_00324	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
JDHLNFNC_00325	CDS	756				hypothetical protein
JDHLNFNC_00326	CDS	960	yidZ_1			HTH-type transcriptional regulator YidZ
JDHLNFNC_00327	CDS	1188	mdtL			Multidrug resistance protein MdtL
JDHLNFNC_00328	CDS	162				hypothetical protein
JDHLNFNC_00329	CDS	936				hypothetical protein
JDHLNFNC_00330	CDS	963				hypothetical protein
JDHLNFNC_00331	CDS	708	intA_1		COG0582	Prophage integrase IntA
JDHLNFNC_00332	CDS	495	intA_2		COG0582	Prophage integrase IntA
JDHLNFNC_00333	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
JDHLNFNC_00334	CDS	1647	yidC			Membrane protein insertase YidC
JDHLNFNC_00335	CDS	198				hypothetical protein
